id,explanation_id,chara_id,text,english_text
1,1,1,ヒンメルス・クレストで暮らす赤髪の少女。,A red-haired girl living in Himmels Crest.
2,2,1,活発。　ポジティブ思考。　俺とは正反対の性格をしている。,Energetic. Positive thinker. She has a personality that is completely opposite to mine.
3,3,1,趣味は絵本鑑賞。　御伽噺や伝承には目がない。,Her hobby is looking at picture books. She has a passion for fairy tales and folklore.
4,4,1,文字の読み書きが苦手で、最近は毎日教えている。,She struggles with reading and writing_ so I've been teaching her every day recently.
5,5,1,……別に乗り気ではない。　ダスティンさんに頼まれたから仕方なくだ。,...Not that I’m enthusiastic about it. I'm only doing it because Dustin asked me to.
6,6,1,大人への憧れが強く、それが災いしてよくドジを踏んでいる。,She has a strong desire to become an adult_ which often causes her to blunder.
7,1,2,エレナの義父であり家の主。,Elena’s adoptive father and the head of the household.
8,2,2,かなり豪胆な性格で嘘や曲がった行いを嫌う。,He has a very bold personality and dislikes lies and crooked behavior.
9,3,2,ここで暮らし始めて、あの人には助けられてばかりだ。,Since I started living here_ I’ve been constantly helped by him.
10,4,2,趣味は……書いてて気付いたが、聞いたことがない。,As for his hobbies... now that I think about it_ I’ve never asked.
11,5,2,昼間は昔の新聞を読んでいるか、倉庫で農作業道具の手入れをしている。,During the day_ he’s either reading old newspapers or maintaining farming tools in the shed.
12,6,2,夜はエレナに隠れて晩酌……ぐらいか。(ちなみに超下戸),At night_ he secretly drinks behind Elena's back... even though he gets drunk easily.
13,7,2,……考えてみれば、結構ミステリアスな部分が多いかもしれない。,...Come to think of it_ he might have a lot of mysterious aspects.
